Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.47594339232963,2.08684522733067,3.50187185732737,5.75514851246506,-10.2183974208569,4.42136738945015,5.21386783786224,4.63215702969933,7.49856206754038,8.00502716233098
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3152.30905106786,3435.28804735662,3400.20417245342,3576.87987100503,3191.66906999331,3570.61257980872,3711.32767981591,3831.32535564326,4228.05102403654,4492.78400306618
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,73.262,..
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,3.35,2.72,5.03,4.803,5.947,3.309,3.39,3.359
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219,45927439594.7902,48414038842.2576,49056643589.0014,42313784081.042,47877892402.3155,50959081953.6903,52340206946.4544,54881327452.9667,64768947525.3256
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.26392086992173,4.19520633364647,2.86808404814794,1.50672102666863,-12.7194690092717,10.0290488827886,3.74741781241461,2.51636590154891,-1.12335595517212,-1.58237567348246
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3035.87347732132,4048.40119739839,4206.8552936661,4203.15492855788,3580.96761778303,4010.76053686204,4219.46113742445,4274.70820547613,4421.16609889999,5147.81081955367
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,68.739,..
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.498,3.655,3.519,3.682,7.903,4.936,3.452,2.948,2.73,..
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17116926553.8513,18326373135.6099,20484058033.1144,20482608984.3316,20226038369.9191,23672712121.2671,24534663636.1778,27592361498.4057,29737363103.0492,32599982936.3931
